ntu|sensor|leitura
60|1|191
60|2|201
60|1|194
60|2|208
60|1|189
60|2|203
60|1|186
60|2|202
60|1|190
60|2|205
60|1|194
60|2|201
60|1|183
60|2|200
60|1|189
60|2|197
60|1|196
60|2|198
60|1|187
60|2|200
60|1|204
60|2|216
60|1|191
60|2|197
60|1|212
60|2|208
60|1|212
60|2|205
60|1|210
60|2|200
60|1|191
60|2|204
60|1|190
60|2|200
60|1|194
60|2|204
60|1|187
60|2|200
60|1|198
60|2|201
60|1|187
60|2|201
60|1|215
60|2|208
60|1|193
60|2|207
60|1|199
60|2|205
60|1|199
60|2|203
60|1|197
60|2|202
60|1|194
60|2|206
60|1|190
60|2|203
60|1|194
60|2|213
60|1|182
60|2|193
60|1|200
60|2|216
60|1|194
60|2|197
60|1|196
60|2|210
60|1|192
60|2|199
60|1|204
60|2|206
60|1|188
60|2|198
60|1|195
60|2|207
60|1|194
60|2|200
60|1|206
60|2|205
60|1|202
60|2|202
60|1|193
60|2|194
60|1|187
60|2|198
60|1|202
60|2|204
60|1|193
60|2|214
60|1|193
60|2|196
60|1|187
60|2|203
60|1|191
60|2|194
60|1|203
60|2|205
60|1|197
60|2|202
60|1|190
60|2|215
60|1|204
60|2|200
60|1|197
60|2|197
60|1|202
60|2|204
60|1|212
60|2|205
60|1|199
60|2|208
60|1|201
60|2|215
60|1|197
60|2|211
60|1|197
60|2|201
60|1|188
60|2|201
60|1|194
60|2|207
60|1|186
60|2|201
60|1|199
60|2|209
60|1|200
60|2|206
60|1|201
60|2|199
60|1|202
60|2|214
60|1|209
60|2|202
60|1|194
60|2|209
60|1|200
60|2|212
60|1|189
60|2|203
60|1|206
60|2|203
60|1|185
60|2|203
60|1|184
60|2|208
60|1|187
60|2|217
60|1|190
60|2|196
60|1|195
60|2|206
60|1|196
60|2|201
60|1|202
60|2|220
60|1|212
60|2|208
60|1|201
60|2|204
60|1|185
60|2|208
60|1|208
60|2|209
60|1|194
60|2|210
60|1|190
60|2|205
60|1|199
60|2|213
60|1|189
60|2|203
60|1|202
60|2|209
60|1|194
60|2|215
60|1|198
60|2|213
60|1|201
60|2|208
60|1|205
60|2|201
60|1|202
60|2|216
60|1|207
60|2|209
60|1|212
60|2|213
60|1|194
60|2|203
60|1|200
60|2|227
60|1|193
60|2|215
60|1|205
60|2|217
60|1|190
60|2|216
60|1|193
60|2|213
60|1|196
60|2|209
60|1|210
60|2|215
60|1|197
60|2|211
60|1|194
60|2|208
60|1|221
60|2|215
60|1|201
60|2|200
60|1|211
60|2|211
60|1|207
60|2|213
60|1|204
60|2|219
60|1|202
60|2|209
60|1|204
60|2|211
60|1|207
60|2|210
60|1|197
60|2|213
60|1|199
60|2|218
60|1|197
60|2|214
60|1|196
60|2|227
60|1|197
60|2|211
60|1|205
60|2|209
60|1|203
60|2|208
60|1|202
60|2|209
60|1|200
60|2|228
60|1|213
60|2|213
60|1|191
60|2|202
60|1|196
60|2|210
60|1|194
60|2|204
60|1|187
60|2|205
60|1|208
60|2|206
60|1|196
60|2|206
60|1|212
60|2|213
60|1|194
60|2|206
60|1|219
60|2|212
60|1|197
60|2|201
60|1|203
60|2|215
60|1|198
60|2|217
60|1|211
60|2|201
60|1|190
60|2|215
60|1|188
60|2|205
60|1|203
60|2|210
60|1|193
60|2|211
60|1|202
60|2|210
60|1|185
60|2|207
60|1|203
60|2|212
60|1|194
60|2|204
60|1|198
60|2|200
60|1|195
60|2|194
60|1|200
60|2|198
60|1|197
60|2|201
60|1|187
60|2|199
60|1|200
60|2|198
60|1|195
60|2|203
60|1|191
60|2|208
60|1|186
60|2|199
60|1|196
60|2|201
60|1|184
60|2|197
60|1|194
60|2|197
60|1|194
60|2|212
60|1|193
60|2|200
60|1|201
60|2|205
60|1|185
60|2|196
60|1|198
60|2|205
60|1|207
60|2|205
60|1|206
60|2|210
60|1|196
60|2|205
60|1|206
60|2|203
60|1|190
60|2|201
60|1|192
60|2|202
60|1|193
60|2|206
60|1|186
60|2|201
60|1|205
60|2|206
60|1|190
60|2|204
60|1|193
60|2|234
60|1|204
60|2|210
60|1|219
60|2|206
60|1|201
60|2|213
60|1|201
60|2|210
60|1|183
60|2|210
60|1|199
60|2|205
60|1|196
60|2|206
60|1|196
60|2|207
60|1|197
60|2|207
60|1|189
60|2|207
60|1|240
60|2|219
60|1|191
60|2|204
60|1|199
60|2|206
60|1|191
60|2|200
60|1|196
60|2|211
60|1|188
60|2|210
60|1|211
60|2|225
60|1|207
60|2|206
60|1|201
60|2|217
60|1|199
60|2|206
60|1|195
60|2|206
60|1|215
60|2|211
60|1|201
60|2|194
60|1|199
60|2|214
60|1|204
60|2|219
60|1|189
60|2|192
60|1|184
60|2|196
60|1|182
60|2|200
60|1|192
60|2|225
60|1|192
60|2|208
60|1|196
60|2|199
60|1|197
60|2|212
60|1|205
60|2|215
60|1|203
60|2|201
60|1|223
60|2|208
60|1|205
60|2|204
60|1|199
60|2|202
60|1|194
60|2|199
60|1|193
60|2|196
60|1|190
60|2|198
60|1|189
60|2|205
60|1|201
60|2|200
60|1|198
60|2|196
60|1|197
60|2|201
60|1|200
60|2|200
60|1|210
60|2|202
60|1|196
60|2|194
60|1|206
60|2|203
60|1|192
60|2|206
60|1|196
60|2|200
60|1|193
60|2|195
60|1|189
60|2|207
60|1|191
60|2|215
60|1|188
60|2|204
60|1|209
60|2|210
60|1|203
60|2|206
60|1|204
60|2|204
60|1|205
60|2|202
60|1|206
60|2|223
60|1|212
60|2|239
