ntu|sensor|leitura
100|1|172
100|2|122
100|1|174
100|2|137
100|1|177
100|2|137
100|1|178
100|2|147
100|1|178
100|2|130
100|1|179
100|2|150
100|1|169
100|2|145
100|1|178
100|2|165
100|1|169
100|2|130
100|1|166
100|2|153
100|1|180
100|2|141
100|1|172
100|2|158
100|1|184
100|2|128
100|1|148
100|2|133
100|1|181
100|2|158
100|1|166
100|2|135
100|1|180
100|2|134
100|1|169
100|2|143
100|1|184
100|2|147
100|1|181
100|2|147
100|1|169
100|2|131
100|1|163
100|2|157
100|1|159
100|2|123
100|1|181
100|2|140
100|1|166
100|2|135
100|1|184
100|2|135
100|1|164
100|2|138
100|1|174
100|2|147
100|1|172
100|2|120
100|1|159
100|2|114
100|1|175
100|2|138
100|1|158
100|2|147
100|1|174
100|2|134
100|1|160
100|2|144
100|1|177
100|2|155
100|1|175
100|2|133
100|1|181
100|2|132
100|1|170
100|2|159
100|1|175
100|2|162
100|1|172
100|2|161
100|1|175
100|2|137
100|1|166
100|2|152
100|1|174
100|2|128
100|1|176
100|2|151
100|1|160
100|2|144
100|1|180
100|2|152
100|1|168
100|2|123
100|1|179
100|2|148
100|1|184
100|2|153
100|1|177
100|2|152
100|1|181
100|2|144
100|1|169
100|2|136
100|1|177
100|2|155
100|1|169
100|2|138
100|1|175
100|2|143
100|1|178
100|2|144
100|1|167
100|2|156
100|1|169
100|2|135
100|1|171
100|2|129
100|1|172
100|2|129
100|1|180
100|2|147
100|1|164
100|2|142
100|1|157
100|2|134
100|1|176
100|2|148
100|1|165
100|2|134
100|1|175
100|2|168
100|1|166
100|2|130
100|1|175
100|2|156
100|1|169
100|2|131
100|1|181
100|2|136
100|1|177
100|2|142
100|1|146
100|2|136
100|1|178
100|2|139
100|1|171
100|2|128
100|1|164
100|2|124
100|1|160
100|2|137
100|1|167
100|2|142
100|1|181
100|2|155
100|1|176
100|2|134
100|1|177
100|2|148
100|1|184
100|2|135
100|1|165
100|2|141
100|1|178
100|2|145
100|1|165
100|2|142
100|1|158
100|2|133
100|1|184
100|2|157
100|1|171
100|2|155
100|1|176
100|2|153
100|1|181
100|2|132
100|1|181
100|2|135
100|1|168
100|2|144
100|1|179
100|2|150
100|1|176
100|2|152
100|1|172
100|2|142
100|1|172
100|2|134
100|1|165
100|2|126
100|1|177
100|2|155
100|1|168
100|2|134
100|1|179
100|2|137
100|1|169
100|2|146
100|1|168
