ntu|sensor|leitura
40|1|181
40|2|217
40|1|184
40|2|206
40|1|190
40|2|215
40|1|191
40|2|206
40|1|203
40|2|231
40|1|189
40|2|213
40|1|196
40|2|219
40|1|188
40|2|223
40|1|193
40|2|216
40|1|196
40|2|225
40|1|194
40|2|226
40|1|194
40|2|221
40|1|189
40|2|218
40|1|187
40|2|223
40|1|188
40|2|205
40|1|183
40|2|237
40|1|196
40|2|224
40|1|221
40|2|219
40|1|186
40|2|221
40|1|191
40|2|224
40|1|187
40|2|221
40|1|184
40|2|218
40|1|191
40|2|223
40|1|194
40|2|213
40|1|210
40|2|216
40|1|198
40|2|235
40|1|195
40|2|221
40|1|184
40|2|213
40|1|191
40|2|227
40|1|189
40|2|214
40|1|191
40|2|221
40|1|197
40|2|217
40|1|194
40|2|210
40|1|190
40|2|223
40|1|187
40|2|220
40|1|191
40|2|249
40|1|210
40|2|217
40|1|198
40|2|231
40|1|214
40|2|224
40|1|198
40|2|220
40|1|194
40|2|219
40|1|187
40|2|219
40|1|186
40|2|233
40|1|185
40|2|220
40|1|192
40|2|212
40|1|187
40|2|208
40|1|189
40|2|228
40|1|192
40|2|217
40|1|196
40|2|227
40|1|193
40|2|208
40|1|188
40|2|223
40|1|203
40|2|217
40|1|196
40|2|226
40|1|204
40|2|227
40|1|187
40|2|219
40|1|187
40|2|215
40|1|190
40|2|218
40|1|191
40|2|218
40|1|195
40|2|221
40|1|211
40|2|222
40|1|187
40|2|228
40|1|189
40|2|229
40|1|186
40|2|219
40|1|186
40|2|207
40|1|194
40|2|222
40|1|192
40|2|224
40|1|197
40|2|226
40|1|198
40|2|224
40|1|237
40|2|222
40|1|192
40|2|239
40|1|200
40|2|232
40|1|185
40|2|215
40|1|205
40|2|210
40|1|198
40|2|229
40|1|191
40|2|222
40|1|195
40|2|218
40|1|184
40|2|219
40|1|186
40|2|226
40|1|195
40|2|235
40|1|186
40|2|218
40|1|187
40|2|229
40|1|194
40|2|214
40|1|186
40|2|222
40|1|184
40|2|224
40|1|187
40|2|215
40|1|188
40|2|221
40|1|189
40|2|226
40|1|187
40|2|208
40|1|188
40|2|225
40|1|184
40|2|215
40|1|189
40|2|230
40|1|177
40|2|226
40|1|186
40|2|248
40|1|189
40|2|228
40|1|186
40|2|227
40|1|187
40|2|225
40|1|184
40|2|228
40|1|183
40|2|219
40|1|191
40|2|213
40|1|186
40|2|241
40|1|182
40|2|221
40|1|185
40|2|228
40|1|195
40|2|232
40|1|199
40|2|231
40|1|197
40|2|238
40|1|214
40|2|234
40|1|195
40|2|249
40|1|190
40|2|242
40|1|195
40|2|218
40|1|201
40|2|226
40|1|215
40|2|246
40|1|189
40|2|218
40|1|198
40|2|230
40|1|208
40|2|239
40|1|192
40|2|228
40|1|190
40|2|211
40|1|187
40|2|233
40|1|191
40|2|231
40|1|204
40|2|242
40|1|220
40|2|251
40|1|191
40|2|218
40|1|223
40|2|216
40|1|186
40|2|230
40|1|191
40|2|237
40|1|181
40|2|231
40|1|192
40|2|231
40|1|207
40|2|224
40|1|188
40|2|216
40|1|187
40|2|235
40|1|188
40|2|219
40|1|188
40|2|242
40|1|185
40|2|222
40|1|189
40|2|233
40|1|202
40|2|224
40|1|207
40|2|230
40|1|187
40|2|225
40|1|187
40|2|233
40|1|204
40|2|260
40|1|184
40|2|217
40|1|182
40|2|238
40|1|179
40|2|221
40|1|209
40|2|237
40|1|195
40|2|223
40|1|189
40|2|235
40|1|181
40|2|223
40|1|193
40|2|221
40|1|189
40|2|215
40|1|186
40|2|232
40|1|197
40|2|227
40|1|207
40|2|228
40|1|185
40|2|242
40|1|194
40|2|224
40|1|201
40|2|238
40|1|187
40|2|239
40|1|197
40|2|232
40|1|196
40|2|228
40|1|193
40|2|222
40|1|190
40|2|227
40|1|194
40|2|232
40|1|194
40|2|227
40|1|184
40|2|225
40|1|206
40|2|221
40|1|191
40|2|218
40|1|199
